Station,	latitude,	longitude,	Borough,	City,	State,	ZipCode, Date
KNYBROOK54,	40.6250,	73.9921,	Brooklyn,	Dyker Heights,	NY,	11229,	1/1/2016
KNYBROOK54,	40.6250,	73.9921,	Brooklyn,	Dyker Heights,	NY,	11229,	1/2/2016
